technique_id	technique_name	tactics
T1218.008	System Binary Proxy Execution: Odbcconf	Defense Evasion
T1218.009	System Binary Proxy Execution: Regsvcs/Regasm	Defense Evasion
T1218.010	System Binary Proxy Execution: Regsvr32	Defense Evasion
T1218.011	System Binary Proxy Execution: Rundll32	Defense Evasion
T1218.012	System Binary Proxy Execution: Verclsid	Defense Evasion
T1218.013	System Binary Proxy Execution: Mavinject	Defense Evasion
T1218.014	System Binary Proxy Execution: MMC	Defense Evasion
T1218.015	System Binary Proxy Execution: Electron Applications	Defense Evasion
T1219	Remote Access Tools	Command And Control
T1219.001	Remote Access Tools: IDE Tunneling	Command And Control
T1219.002	Remote Access Tools: Remote Desktop Software	Command And Control
T1219.003	Remote Access Tools: Remote Access Hardware	Command And Control
T1220	XSL Script Processing	Defense Evasion
T1221	Template Injection	Defense Evasion
T1222	File and Directory Permissions Modification	Defense Evasion
T1222.001	File and Directory Permissions Modification: Windows File and Directory Permissions Modification	Defense Evasion
T1222.002	File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification	Defense Evasion
T1223	Compiled HTML File	Defense Evasion; Execution
T1480	Execution Guardrails	Defense Evasion
T1480.001	Execution Guardrails: Environmental Keying	Defense Evasion
T1480.002	Execution Guardrails: Mutual Exclusion	Defense Evasion
T1482	Domain Trust Discovery	Discovery
T1483	Domain Generation Algorithms	Command And Control
T1484	Domain or Tenant Policy Modification	Defense Evasion; Privilege Escalation
T1484.001	Domain or Tenant Policy Modification: Group Policy Modification	Defense Evasion; Privilege Escalation
T1484.002	Domain or Tenant Policy Modification: Trust Modification	Defense Evasion; Privilege Escalation
T1485	Data Destruction	Impact
T1485.001	Data Destruction: Lifecycle-Triggered Deletion	Impact
T1486	Data Encrypted for Impact	Impact
T1487	Disk Structure Wipe	Impact
T1488	Disk Content Wipe	Impact
T1489	Service Stop	Impact
T1490	Inhibit System Recovery	Impact
T1491	Defacement	Impact
T1491.001	Defacement: Internal Defacement	Impact
T1491.002	Defacement: External Defacement	Impact
T1492	Stored Data Manipulation	Impact
T1493	Transmitted Data Manipulation	Impact
T1494	Runtime Data Manipulation	Impact
T1495	Firmware Corruption	Impact
T1496	Resource Hijacking	Impact
T1496.001	Resource Hijacking: Compute Hijacking	Impact
T1496.002	Resource Hijacking: Bandwidth Hijacking	Impact
T1496.003	Resource Hijacking: SMS Pumping	Impact
T1496.004	Resource Hijacking: Cloud Service Hijacking	Impact
T1497	Virtualization/Sandbox Evasion	Defense Evasion; Discovery
T1497.001	Virtualization/Sandbox Evasion: System Checks	Defense Evasion; Discovery
T1497.002	Virtualization/Sandbox Evasion: User Activity Based Checks	Defense Evasion; Discovery
T1497.003	Virtualization/Sandbox Evasion: Time Based Evasion	Defense Evasion; Discovery
T1498	Network Denial of Service	Impact
T1498.001	Network Denial of Service: Direct Network Flood	Impact
T1498.002	Network Denial of Service: Reflection Amplification	Impact
T1499	Endpoint Denial of Service	Impact
T1499.001	Endpoint Denial of Service: OS Exhaustion Flood	Impact
T1499.002	Endpoint Denial of Service: Service Exhaustion Flood	Impact
T1499.003	Endpoint Denial of Service: Application Exhaustion Flood	Impact
T1499.004	Endpoint Denial of Service: Application or System Exploitation	Impact
T1500	Compile After Delivery	Defense Evasion
T1501	Systemd Service	Persistence
T1502	Parent PID Spoofing	Defense Evasion; Privilege Escalation
T1503	Credentials from Web Browsers	Credential Access
T1504	PowerShell Profile	Persistence; Privilege Escalation
T1505	Server Software Component	Persistence
T1505.001	Server Software Component: SQL Stored Procedures	Persistence
T1505.002	Server Software Component: Transport Agent	Persistence
T1505.003	Server Software Component: Web Shell	Persistence
T1505.004	Server Software Component: IIS Components	Persistence
T1505.005	Server Software Component: Terminal Services DLL	Persistence
T1505.006	Server Software Component: vSphere Installation Bundles	Persistence
T1506	Web Session Cookie	Defense Evasion; Lateral Movement
T1514	Elevated Execution with Prompt	Privilege Escalation
T1518	Software Discovery	Discovery
T1518.001	Software Discovery: Security Software Discovery	Discovery
T1519	Emond	Persistence; Privilege Escalation
T1522	Cloud Instance Metadata API	Credential Access
T1525	Implant Internal Image	Persistence
T1526	Cloud Service Discovery	Discovery
T1527	Application Access Token	Defense Evasion; Lateral Movement
T1528	Steal Application Access Token	Credential Access
T1529	System Shutdown/Reboot	Impact
T1530	Data from Cloud Storage	Collection
T1531	Account Access Removal	Impact
T1534	Internal Spearphishing	Lateral Movement
T1535	Unused/Unsupported Cloud Regions	Defense Evasion
T1536	Revert Cloud Instance	Defense Evasion
T1537	Transfer Data to Cloud Account	Exfiltration
T1538	Cloud Service Dashboard	Discovery
T1539	Steal Web Session Cookie	Credential Access
T1542	Pre-OS Boot	Defense Evasion; Persistence
T1542.001	Pre-OS Boot: System Firmware	Persistence; Defense Evasion
T1542.002	Pre-OS Boot: Component Firmware	Persistence; Defense Evasion
T1542.003	Pre-OS Boot: Bootkit	Persistence; Defense Evasion
T1542.004	Pre-OS Boot: ROMMONkit	Defense Evasion; Persistence
T1542.005	Pre-OS Boot: TFTP Boot	Defense Evasion; Persistence
T1543	Create or Modify System Process	Persistence; Privilege Escalation
T1543.001	Create or Modify System Process: Launch Agent	Persistence; Privilege Escalation
T1543.002	Create or Modify System Process: Systemd Service	Persistence; Privilege Escalation
T1543.003	Create or Modify System Process: Windows Service	Persistence; Privilege Escalation
T1543.004	Create or Modify System Process: Launch Daemon	Persistence; Privilege Escalation
T1543.005	Create or Modify System Process: Container Service	Persistence; Privilege Escalation
T1546	Event Triggered Execution	Privilege Escalation; Persistence
T1546.001	Event Triggered Execution: Change Default File Association	Privilege Escalation; Persistence
T1546.002	Event Triggered Execution: Screensaver	Privilege Escalation; Persistence
T1546.003	Event Triggered Execution: Windows Management Instrumentation Event Subscription	Privilege Escalation; Persistence
T1546.004	Event Triggered Execution: Unix Shell Configuration Modification	Privilege Escalation; Persistence
T1546.005	Event Triggered Execution: Trap	Privilege Escalation; Persistence
T1546.006	Event Triggered Execution: LC_LOAD_DYLIB Addition	Privilege Escalation; Persistence
T1546.007	Event Triggered Execution: Netsh Helper DLL	Privilege Escalation; Persistence
T1546.008	Event Triggered Execution: Accessibility Features	Privilege Escalation; Persistence
T1546.009	Event Triggered Execution: AppCert DLLs	Privilege Escalation; Persistence
T1546.010	Event Triggered Execution: AppInit DLLs	Privilege Escalation; Persistence
T1546.011	Event Triggered Execution: Application Shimming	Privilege Escalation; Persistence
T1546.012	Event Triggered Execution: Image File Execution Options Injection	Privilege Escalation; Persistence
T1546.013	Event Triggered Execution: PowerShell Profile	Privilege Escalation; Persistence
T1546.014	Event Triggered Execution: Emond	Privilege Escalation; Persistence
T1546.015	Event Triggered Execution: Component Object Model Hijacking	Privilege Escalation; Persistence
T1546.016	Event Triggered Execution: Installer Packages	Privilege Escalation; Persistence
T1546.017	Event Triggered Execution: Udev Rules	Persistence; Privilege Escalation
T1547	Boot or Logon Autostart Execution	Persistence; Privilege Escalation
T1547.001	Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder	Persistence; Privilege Escalation
T1547.002	Boot or Logon Autostart Execution: Authentication Package	Persistence; Privilege Escalation
T1547.003	Boot or Logon Autostart Execution: Time Providers	Persistence; Privilege Escalation
T1547.004	Boot or Logon Autostart Execution: Winlogon Helper DLL	Persistence; Privilege Escalation
T1547.005	Boot or Logon Autostart Execution: Security Support Provider	Persistence; Privilege Escalation
T1547.006	Boot or Logon Autostart Execution: Kernel Modules and Extensions	Persistence; Privilege Escalation
T1547.007	Boot or Logon Autostart Execution: Re-opened Applications	Persistence; Privilege Escalation
T1547.008	Boot or Logon Autostart Execution: LSASS Driver	Persistence; Privilege Escalation
T1547.009	Boot or Logon Autostart Execution: Shortcut Modification	Persistence; Privilege Escalation
T1547.010	Boot or Logon Autostart Execution: Port Monitors	Persistence; Privilege Escalation
T1547.011	Boot or Logon Autostart Execution: Plist Modification	Persistence; Privilege Escalation
T1547.012	Boot or Logon Autostart Execution: Print Processors	Persistence; Privilege Escalation
T1547.013	Boot or Logon Autostart Execution: XDG Autostart Entries	Persistence; Privilege Escalation
T1547.014	Boot or Logon Autostart Execution: Active Setup	Persistence; Privilege Escalation
T1547.015	Boot or Logon Autostart Execution: Login Items	Persistence; Privilege Escalation
T1548	Abuse Elevation Control Mechanism	Privilege Escalation; Defense Evasion
T1548.001	Abuse Elevation Control Mechanism: Setuid and Setgid	Privilege Escalation; Defense Evasion
T1548.002	Abuse Elevation Control Mechanism: Bypass User Account Control	Privilege Escalation; Defense Evasion
T1548.003	Abuse Elevation Control Mechanism: Sudo and Sudo Caching	Privilege Escalation; Defense Evasion
T1548.004	Abuse Elevation Control Mechanism: Elevated Execution with Prompt	Privilege Escalation; Defense Evasion
T1548.005	Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access	Privilege Escalation; Defense Evasion
T1548.006	Abuse Elevation Control Mechanism: TCC Manipulation	Defense Evasion; Privilege Escalation
T1550	Use Alternate Authentication Material	Defense Evasion; Lateral Movement
T1550.001	Use Alternate Authentication Material: Application Access Token	Defense Evasion; Lateral Movement
T1550.002	Use Alternate Authentication Material: Pass the Hash	Defense Evasion; Lateral Movement
T1550.003	Use Alternate Authentication Material: Pass the Ticket	Defense Evasion; Lateral Movement
T1550.004	Use Alternate Authentication Material: Web Session Cookie	Defense Evasion; Lateral Movement
T1552	Unsecured Credentials	Credential Access
T1552.001	Unsecured Credentials: Credentials In Files	Credential Access
T1552.002	Unsecured Credentials: Credentials in Registry	Credential Access
T1552.003	Unsecured Credentials: Bash History	Credential Access
T1552.004	Unsecured Credentials: Private Keys	Credential Access
T1552.005	Unsecured Credentials: Cloud Instance Metadata API	Credential Access
T1552.006	Unsecured Credentials: Group Policy Preferences	Credential Access
T1552.007	Unsecured Credentials: Container API	Credential Access
T1552.008	Unsecured Credentials: Chat Messages	Credential Access
T1553	Subvert Trust Controls	Defense Evasion
T1553.001	Subvert Trust Controls: Gatekeeper Bypass	Defense Evasion
T1553.002	Subvert Trust Controls: Code Signing	Defense Evasion
T1553.003	Subvert Trust Controls: SIP and Trust Provider Hijacking	Defense Evasion
T1553.004	Subvert Trust Controls: Install Root Certificate	Defense Evasion
T1553.005	Subvert Trust Controls: Mark-of-the-Web Bypass	Defense Evasion
T1553.006	Subvert Trust Controls: Code Signing Policy Modification	Defense Evasion
T1554	Compromise Host Software Binary	Persistence
T1555	Credentials from Password Stores	Credential Access
T1555.001	Credentials from Password Stores: Keychain	Credential Access
T1555.002	Credentials from Password Stores: Securityd Memory	Credential Access
T1555.003	Credentials from Password Stores: Credentials from Web Browsers	Credential Access
T1555.004	Credentials from Password Stores: Windows Credential Manager	Credential Access
T1555.005	Credentials from Password Stores: Password Managers	Credential Access
T1555.006	Credentials from Password Stores: Cloud Secrets Management Stores	Credential Access
T1556	Modify Authentication Process	Credential Access; Defense Evasion; Persistence
T1556.001	Modify Authentication Process: Domain Controller Authentication	Credential Access; Defense Evasion; Persistence
T1556.002	Modify Authentication Process: Password Filter DLL	Credential Access; Defense Evasion; Persistence
T1556.003	Modify Authentication Process: Pluggable Authentication Modules	Credential Access; Defense Evasion; Persistence
T1556.004	Modify Authentication Process: Network Device Authentication	Credential Access; Defense Evasion; Persistence
T1556.005	Modify Authentication Process: Reversible Encryption	Credential Access; Defense Evasion; Persistence
T1556.006	Modify Authentication Process: Multi-Factor Authentication	Credential Access; Defense Evasion; Persistence
T1556.007	Modify Authentication Process: Hybrid Identity	Credential Access; Defense Evasion; Persistence
T1556.008	Modify Authentication Process: Network Provider DLL	Credential Access; Defense Evasion; Persistence
T1556.009	Modify Authentication Process: Conditional Access Policies	Credential Access; Defense Evasion; Persistence
T1557	Adversary-in-the-Middle	Credential Access; Collection
T1557.001	Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay	Credential Access; Collection
T1557.002	Adversary-in-the-Middle: ARP Cache Poisoning	Credential Access; Collection
T1557.003	Adversary-in-the-Middle: DHCP Spoofing	Credential Access; Collection
T1557.004	Adversary-in-the-Middle: Evil Twin	Credential Access; Collection
T1558	Steal or Forge Kerberos Tickets	Credential Access
T1558.001	Steal or Forge Kerberos Tickets: Golden Ticket	Credential Access
T1558.002	Steal or Forge Kerberos Tickets: Silver Ticket	Credential Access
T1558.003	Steal or Forge Kerberos Tickets: Kerberoasting	Credential Access
T1558.004	Steal or Forge Kerberos Tickets: AS-REP Roasting	Credential Access
T1558.005	Steal or Forge Kerberos Tickets: Ccache Files	Credential Access
T1559	Inter-Process Communication	Execution
T1559.001	Inter-Process Communication: Component Object Model	Execution
T1559.002	Inter-Process Communication: Dynamic Data Exchange	Execution
T1559.003	Inter-Process Communication: XPC Services	Execution
T1560	Archive Collected Data	Collection
T1560.001	Archive Collected Data: Archive via Utility	Collection
T1560.002	Archive Collected Data: Archive via Library	Collection
T1560.003	Archive Collected Data: Archive via Custom Method	Collection
T1561	Disk Wipe	Impact
T1561.001	Disk Wipe: Disk Content Wipe	Impact
T1561.002	Disk Wipe: Disk Structure Wipe	Impact
T1562	Impair Defenses	Defense Evasion
T1562.001	Impair Defenses: Disable or Modify Tools	Defense Evasion
T1562.002	Impair Defenses: Disable Windows Event Logging	Defense Evasion
T1562.003	Impair Defenses: Impair Command History Logging	Defense Evasion
T1562.004	Impair Defenses: Disable or Modify System Firewall	Defense Evasion
T1562.006	Impair Defenses: Indicator Blocking	Defense Evasion
T1562.007	Impair Defenses: Disable or Modify Cloud Firewall	Defense Evasion
T1562.008	Impair Defenses: Disable or Modify Cloud Logs	Defense Evasion
T1562.009	Impair Defenses: Safe Mode Boot	Defense Evasion
T1562.010	Impair Defenses: Downgrade Attack	Defense Evasion
T1562.011	Impair Defenses: Spoof Security Alerting	Defense Evasion
T1562.012	Impair Defenses: Disable or Modify Linux Audit System	Defense Evasion
T1563	Remote Service Session Hijacking	Lateral Movement
T1563.001	Remote Service Session Hijacking: SSH Hijacking	Lateral Movement
T1563.002	Remote Service Session Hijacking: RDP Hijacking	Lateral Movement
T1564	Hide Artifacts	Defense Evasion
T1564.001	Hide Artifacts: Hidden Files and Directories	Defense Evasion
T1564.002	Hide Artifacts: Hidden Users	Defense Evasion
T1564.003	Hide Artifacts: Hidden Window	Defense Evasion
T1564.004	Hide Artifacts: NTFS File Attributes	Defense Evasion
T1564.005	Hide Artifacts: Hidden File System	Defense Evasion
T1564.006	Hide Artifacts: Run Virtual Instance	Defense Evasion
T1564.007	Hide Artifacts: VBA Stomping	Defense Evasion
T1564.008	Hide Artifacts: Email Hiding Rules	Defense Evasion
T1564.009	Hide Artifacts: Resource Forking	Defense Evasion
T1564.010	Hide Artifacts: Process Argument Spoofing	Defense Evasion
T1564.011	Hide Artifacts: Ignore Process Interrupts	Defense Evasion
T1564.012	Hide Artifacts: File/Path Exclusions	Defense Evasion
T1564.013	Hide Artifacts: Bind Mounts	Defense Evasion
T1564.014	Hide Artifacts: Extended Attributes	Defense Evasion
T1565	Data Manipulation	Impact
T1565.001	Data Manipulation: Stored Data Manipulation	Impact
T1565.002	Data Manipulation: Transmitted Data Manipulation	Impact
T1565.003	Data Manipulation: Runtime Data Manipulation	Impact
T1566	Phishing	Initial Access
T1566.001	Phishing: Spearphishing Attachment	Initial Access
T1566.002	Phishing: Spearphishing Link	Initial Access
T1566.003	Phishing: Spearphishing via Service	Initial Access
T1566.004	Phishing: Spearphishing Voice	Initial Access
T1567	Exfiltration Over Web Service	Exfiltration
T1567.001	Exfiltration Over Web Service: Exfiltration to Code Repository	Exfiltration
T1567.002	Exfiltration Over Web Service: Exfiltration to Cloud Storage	Exfiltration
T1567.003	Exfiltration Over Web Service: Exfiltration to Text Storage Sites	Exfiltration
T1567.004	Exfiltration Over Web Service: Exfiltration Over Webhook	Exfiltration
T1568	Dynamic Resolution	Command And Control
T1568.001	Dynamic Resolution: Fast Flux DNS	Command And Control
T1568.002	Dynamic Resolution: Domain Generation Algorithms	Command And Control
T1568.003	Dynamic Resolution: DNS Calculation	Command And Control
T1569	System Services	Execution
T1569.001	System Services: Launchctl	Execution
T1569.002	System Services: Service Execution	Execution
T1569.003	System Services: Systemctl	Execution
T1570	Lateral Tool Transfer	Lateral Movement
T1571	Non-Standard Port	Command And Control
T1572	Protocol Tunneling	Command And Control
T1573	Encrypted Channel	Command And Control
T1573.001	Encrypted Channel: Symmetric Cryptography	Command And Control
T1573.002	Encrypted Channel: Asymmetric Cryptography	Command And Control
T1574	Hijack Execution Flow	Persistence; Privilege Escalation; Defense Evasion
T1574.001	Hijack Execution Flow: DLL	Persistence; Privilege Escalation; Defense Evasion
T1574.002	Hijack Execution Flow: DLL Side-Loading	Persistence; Privilege Escalation; Defense Evasion
T1574.004	Hijack Execution Flow: Dylib Hijacking	Persistence; Privilege Escalation; Defense Evasion
T1574.005	Hijack Execution Flow: Executable Installer File Permissions Weakness	Persistence; Privilege Escalation; Defense Evasion
T1574.006	Hijack Execution Flow: Dynamic Linker Hijacking	Persistence; Privilege Escalation; Defense Evasion
T1574.007	Hijack Execution Flow: Path Interception by PATH Environment Variable	Persistence; Privilege Escalation; Defense Evasion
T1574.008	Hijack Execution Flow: Path Interception by Search Order Hijacking	Persistence; Privilege Escalation; Defense Evasion
T1574.009	Hijack Execution Flow: Path Interception by Unquoted Path	Persistence; Privilege Escalation; Defense Evasion
T1574.010	Hijack Execution Flow: Services File Permissions Weakness	Persistence; Privilege Escalation; Defense Evasion
T1574.011	Hijack Execution Flow: Services Registry Permissions Weakness	Persistence; Privilege Escalation; Defense Evasion
T1574.012	Hijack Execution Flow: COR_PROFILER	Persistence; Privilege Escalation; Defense Evasion
T1574.013	Hijack Execution Flow: KernelCallbackTable	Persistence; Privilege Escalation; Defense Evasion
T1574.014	Hijack Execution Flow: AppDomainManager	Persistence; Privilege Escalation; Defense Evasion
T1578	Modify Cloud Compute Infrastructure	Defense Evasion
T1578.001	Modify Cloud Compute Infrastructure: Create Snapshot	Defense Evasion
T1578.002	Modify Cloud Compute Infrastructure: Create Cloud Instance	Defense Evasion
T1578.003	Modify Cloud Compute Infrastructure: Delete Cloud Instance	Defense Evasion
T1578.004	Modify Cloud Compute Infrastructure: Revert Cloud Instance	Defense Evasion
T1578.005	Modify Cloud Compute Infrastructure: Modify Cloud Compute Configurations	Defense Evasion
T1580	Cloud Infrastructure Discovery	Discovery
T1583	Acquire Infrastructure	Resource Development
T1583.001	Acquire Infrastructure: Domains	Resource Development
T1583.002	Acquire Infrastructure: DNS Server	Resource Development
T1583.003	Acquire Infrastructure: Virtual Private Server	Resource Development
T1583.004	Acquire Infrastructure: Server	Resource Development
T1583.005	Acquire Infrastructure: Botnet	Resource Development
T1583.006	Acquire Infrastructure: Web Services	Resource Development
T1583.007	Acquire Infrastructure: Serverless	Resource Development
T1583.008	Acquire Infrastructure: Malvertising	Resource Development
T1584	Compromise Infrastructure	Resource Development
T1584.001	Compromise Infrastructure: Domains	Resource Development
T1584.002	Compromise Infrastructure: DNS Server	Resource Development
T1584.003	Compromise Infrastructure: Virtual Private Server	Resource Development
T1584.004	Compromise Infrastructure: Server	Resource Development
T1584.005	Compromise Infrastructure: Botnet	Resource Development
T1584.006	Compromise Infrastructure: Web Services	Resource Development
T1584.007	Compromise Infrastructure: Serverless	Resource Development
T1584.008	Compromise Infrastructure: Network Devices	Resource Development
T1585	Establish Accounts	Resource Development
T1585.001	Establish Accounts: Social Media Accounts	Resource Development
T1585.002	Establish Accounts: Email Accounts	Resource Development
T1585.003	Establish Accounts: Cloud Accounts	Resource Development
T1586	Compromise Accounts	Resource Development
T1586.001	Compromise Accounts: Social Media Accounts	Resource Development
T1586.002	Compromise Accounts: Email Accounts	Resource Development
T1586.003	Compromise Accounts: Cloud Accounts	Resource Development
T1587	Develop Capabilities	Resource Development
T1587.001	Develop Capabilities: Malware	Resource Development
T1587.002	Develop Capabilities: Code Signing Certificates	Resource Development
T1587.003	Develop Capabilities: Digital Certificates	Resource Development
T1587.004	Develop Capabilities: Exploits	Resource Development
T1588	Obtain Capabilities	Resource Development
T1588.001	Obtain Capabilities: Malware	Resource Development
T1588.002	Obtain Capabilities: Tool	Resource Development
T1588.003	Obtain Capabilities: Code Signing Certificates	Resource Development
T1588.004	Obtain Capabilities: Digital Certificates	Resource Development
T1588.005	Obtain Capabilities: Exploits	Resource Development
T1588.006	Obtain Capabilities: Vulnerabilities	Resource Development
T1588.007	Obtain Capabilities: Artificial Intelligence	Resource Development
T1589	Gather Victim Identity Information	Reconnaissance
T1589.001	Gather Victim Identity Information: Credentials	Reconnaissance
T1589.002	Gather Victim Identity Information: Email Addresses	Reconnaissance
T1589.003	Gather Victim Identity Information: Employee Names	Reconnaissance
T1590	Gather Victim Network Information	Reconnaissance
T1590.001	Gather Victim Network Information: Domain Properties	Reconnaissance
T1590.002	Gather Victim Network Information: DNS	Reconnaissance
T1590.003	Gather Victim Network Information: Network Trust Dependencies	Reconnaissance
T1590.004	Gather Victim Network Information: Network Topology	Reconnaissance
T1590.005	Gather Victim Network Information: IP Addresses	Reconnaissance
T1590.006	Gather Victim Network Information: Network Security Appliances	Reconnaissance
T1591	Gather Victim Org Information	Reconnaissance
T1591.001	Gather Victim Org Information: Determine Physical Locations	Reconnaissance
T1591.002	Gather Victim Org Information: Business Relationships	Reconnaissance
T1591.003	Gather Victim Org Information: Identify Business Tempo	Reconnaissance
T1591.004	Gather Victim Org Information: Identify Roles	Reconnaissance
T1592	Gather Victim Host Information	Reconnaissance
T1592.001	Gather Victim Host Information: Hardware	Reconnaissance
T1592.002	Gather Victim Host Information: Software	Reconnaissance
T1592.003	Gather Victim Host Information: Firmware	Reconnaissance
T1592.004	Gather Victim Host Information: Client Configurations	Reconnaissance
T1593	Search Open Websites/Domains	Reconnaissance
T1593.001	Search Open Websites/Domains: Social Media	Reconnaissance
T1593.002	Search Open Websites/Domains: Search Engines	Reconnaissance
T1593.003	Search Open Websites/Domains: Code Repositories	Reconnaissance
T1594	Search Victim-Owned Websites	Reconnaissance
T1595	Active Scanning	Reconnaissance
T1595.001	Active Scanning: Scanning IP Blocks	Reconnaissance
T1595.002	Active Scanning: Vulnerability Scanning	Reconnaissance
T1595.003	Active Scanning: Wordlist Scanning	Reconnaissance
T1596	Search Open Technical Databases	Reconnaissance
T1596.001	Search Open Technical Databases: DNS/Passive DNS	Reconnaissance
T1596.002	Search Open Technical Databases: WHOIS	Reconnaissance
T1596.003	Search Open Technical Databases: Digital Certificates	Reconnaissance
T1596.004	Search Open Technical Databases: CDNs	Reconnaissance
T1596.005	Search Open Technical Databases: Scan Databases	Reconnaissance
T1597	Search Closed Sources	Reconnaissance
T1597.001	Search Closed Sources: Threat Intel Vendors	Reconnaissance
T1597.002	Search Closed Sources: Purchase Technical Data	Reconnaissance
T1598	Phishing for Information	Reconnaissance
T1598.001	Phishing for Information: Spearphishing Service	Reconnaissance
T1598.002	Phishing for Information: Spearphishing Attachment	Reconnaissance
T1598.003	Phishing for Information: Spearphishing Link	Reconnaissance
T1598.004	Phishing for Information: Spearphishing Voice	Reconnaissance
T1599	Network Boundary Bridging	Defense Evasion
T1599.001	Network Boundary Bridging: Network Address Translation Traversal	Defense Evasion
T1600	Weaken Encryption	Defense Evasion
T1600.001	Weaken Encryption: Reduce Key Space	Defense Evasion
T1600.002	Weaken Encryption: Disable Crypto Hardware	Defense Evasion
T1601	Modify System Image	Defense Evasion
T1601.001	Modify System Image: Patch System Image	Defense Evasion
T1601.002	Modify System Image: Downgrade System Image	Defense Evasion
T1602	Data from Configuration Repository	Collection
T1602.001	Data from Configuration Repository: SNMP (MIB Dump)	Collection
T1602.002	Data from Configuration Repository: Network Device Configuration Dump	Collection
T1606	Forge Web Credentials	Credential Access
T1606.001	Forge Web Credentials: Web Cookies	Credential Access
T1606.002	Forge Web Credentials: SAML Tokens	Credential Access
T1608	Stage Capabilities	Resource Development
T1608.001	Stage Capabilities: Upload Malware	Resource Development
T1608.002	Stage Capabilities: Upload Tool	Resource Development
T1608.003	Stage Capabilities: Install Digital Certificate	Resource Development
T1608.004	Stage Capabilities: Drive-by Target	Resource Development
T1608.005	Stage Capabilities: Link Target	Resource Development
T1608.006	Stage Capabilities: SEO Poisoning	Resource Development
T1609	Container Administration Command	Execution
T1610	Deploy Container	Defense Evasion; Execution
T1611	Escape to Host	Privilege Escalation
T1612	Build Image on Host	Defense Evasion
T1613	Container and Resource Discovery	Discovery
T1614	System Location Discovery	Discovery
T1614.001	System Location Discovery: System Language Discovery	Discovery
T1615	Group Policy Discovery	Discovery
T1619	Cloud Storage Object Discovery	Discovery
T1620	Reflective Code Loading	Defense Evasion
T1621	Multi-Factor Authentication Request Generation	Credential Access
T1622	Debugger Evasion	Defense Evasion; Discovery
T1647	Plist File Modification	Defense Evasion
T1648	Serverless Execution	Execution
T1649	Steal or Forge Authentication Certificates	Credential Access
T1650	Acquire Access	Resource Development
T1651	Cloud Administration Command	Execution
T1652	Device Driver Discovery	Discovery
T1653	Power Settings	Persistence
T1654	Log Enumeration	Discovery
T1656	Impersonation	Defense Evasion
T1657	Financial Theft	Impact
T1659	Content Injection	Initial Access; Command And Control
T1665	Hide Infrastructure	Command And Control
T1666	Modify Cloud Resource Hierarchy	Defense Evasion
T1667	Email Bombing	Impact
T1668	Exclusive Control	Persistence
T1669	Wi-Fi Networks	Initial Access
T1671	Cloud Application Integration	Persistence
T1672	Email Spoofing	Defense Evasion
T1673	Virtual Machine Discovery	Discovery
T1674	Input Injection	Execution
T1675	ESXi Administration Command	Execution
